"k","revert","playoff_revert","score"
7.5,0.9,0.2,119.697523238354
7.5,0.9,0.3,119.641954438703
7.5,0.9,0.4,119.600157659057
7.5,0.9,0.5,119.572494939756
7.5,0.9,0.6,119.559269650929
7.5,0.9,0.7,119.560722549572
7.5,0.9,0.8,119.577028770436
7.5,0.9,0.9,119.608295823823
10,0.1,0.1,120.002416195463
10,0.1,0.2,119.546684680295
10,0.1,0.3,119.183638478633
10,0.1,0.4,118.903602740855
10,0.1,0.5,118.69901658089
10,0.1,0.6,118.564012295681
10,0.1,0.7,118.494079631305
10,0.1,0.8,118.485795949356
10,0.1,0.9,118.53660708962
10,0.2,0.1,119.711370501896
10,0.2,0.2,119.352527832916
10,0.2,0.3,119.064726442647
10,0.2,0.4,118.842493322103
10,0.2,0.5,118.681405235083
10,0.2,0.6,118.57790850069
10,0.2,0.7,118.529168258559
10,0.2,0.8,118.532942411644
10,0.2,0.9,118.587475629752
10,0.3,0.1,119.507131874682
10,0.3,0.2,119.223349298745
10,0.3,0.3,118.994771161921
10,0.3,0.4,118.818516392731
10,0.3,0.5,118.6921700865
10,0.3,0.6,118.613713051356
10,0.3,0.7,118.581460593472
10,0.3,0.8,118.594009853954
10,0.3,0.9,118.650194479584
10,0.4,0.1,119.378916529621
10,0.4,0.2,119.152721355716
10,0.4,0.3,118.970039327452
10,0.4,0.4,118.829573375561
10,0.4,0.5,118.730184275246
10,0.4,0.6,118.670865210922
10,0.4,0.7,118.650719562629
10,0.4,0.8,118.668942059565
10,0.4,0.9,118.724802967051
10,0.5,0.1,119.318612068423
10,0.5,0.2,119.135663265634
10,0.5,0.3,118.987548370415
10,0.5,0.4,118.873932751737
10,0.5,0.5,118.794485163892
10,0.5,0.6,118.748867012163
10,0.5,0.7,118.73672381477
10,0.5,0.8,118.757679066609
10,0.5,0.9,118.81133036823
10,0.6,0.1,119.320163526732
10,0.6,0.2,119.168344278921
10,0.6,0.3,119.044930350938
10,0.6,0.4,118.950172193413
10,0.6,0.5,118.884252225755
10,0.6,0.6,118.847275984328
10,0.6,0.7,118.839265700288
10,0.6,0.8,118.860156538998
10,0.6,0.9,118.909795479464
10,0.7,0.1,119.379104193598
10,0.7,0.2,119.247847737
10,0.7,0.3,119.14032014595
10,0.7,0.4,119.057129635712
10,0.7,0.5,118.998787877919
10,0.7,0.6,118.965698707375
10,0.7,0.7,118.958149448024
10,0.7,0.8,118.976305201258
10,0.7,0.9,119.020206238427
10,0.8,0.1,119.492190508849
10,0.8,0.2,119.371981554084
10,0.8,0.3,119.272263035772
10,0.8,0.4,119.193861793349
10,0.8,0.5,119.137500841307
10,0.8,0.6,119.103785087356
10,0.8,0.7,119.093189517354
10,0.8,0.8,119.106050336455
10,0.8,0.9,119.142559397547
10,0.9,0.1,119.657116009594
10,0.9,0.2,119.539125671564
10,0.9,0.3,119.439638410285
10,0.9,0.4,119.359609064006
10,0.9,0.5,119.299891711965
10,0.9,0.6,119.261223267113
10,0.9,0.7,119.244209106599
10,0.9,0.8,119.249311346129
10,0.9,0.9,119.276840252623
12.5,0.1,0.1,120.399760310614
12.5,0.1,0.2,119.885767990119
12.5,0.1,0.3,119.460942746286
12.5,0.1,0.4,119.12003473541
12.5,0.1,0.5,118.858839691765
12.5,0.1,0.6,118.67397036483
12.5,0.1,0.7,118.562674718141
12.5,0.1,0.8,118.522692365012
12.5,0.1,0.9,118.552141010066
12.5,0.2,0.1,120.069994954065
12.5,0.2,0.2,119.648295173817
12.5,0.2,0.3,119.298198986382
12.5,0.2,0.4,119.017024488442
12.5,0.2,0.5,118.802551906103
12.5,0.2,0.6,118.65291631722
12.5,0.2,0.7,118.566520060468
12.5,0.2,0.8,118.541963185251
12.5,0.2,0.9,118.577989187477
12.5,0.3,0.1,119.823452018222
12.5,0.3,0.2,119.476225920091
12.5,0.3,0.3,119.187037675388
12.5,0.3,0.4,118.954840066758
12.5,0.3,0.5,118.778726435023
12.5,0.3,0.6,118.657877936041
12.5,0.3,0.7,118.591520343859
12.5,0.3,0.8,118.578890842558
12.5,0.3,0.9,118.619214082491
12.5,0.4,0.1,119.653239194918
12.5,0.4,0.2,119.365361530803
12.5,0.4,0.3,119.124978325812
12.5,0.4,0.4,118.932079629547
12.5,0.4,0.5,118.786627526773
12.5,0.4,0.6,118.688524240185
12.5,0.4,0.7,118.637586497509
12.5,0.4,0.8,118.633527181542
12.5,0.4,0.9,118.675944341809
12.5,0.5,0.1,119.554051391752
12.5,0.5,0.2,119.31237514471
12.5,0.5,0.3,119.109994317026
12.5,0.5,0.4,118.947559054043
12.5,0.5,0.5,118.825609770488
12.5,0.5,0.6,118.744550177708
12.5,0.5,0.7,118.704625711564
12.5,0.5,0.8,118.705908598604
12.5,0.5,0.9,118.748290069242
12.5,0.6,0.1,119.521816737122
12.5,0.6,0.2,119.314632395967
12.5,0.6,0.3,119.14042612021
12.5,0.6,0.4,119.000272456501
12.5,0.6,0.5,118.895101435575
12.5,0.6,0.6,118.825670019967
12.5,0.6,0.7,118.792538672516
12.5,0.6,0.8,118.796054464014
12.5,0.6,0.9,118.836341565253
12.5,0.7,0.1,119.553416269616
12.5,0.7,0.2,119.370044390366
12.5,0.7,0.3,119.214908133548
12.5,0.7,0.4,119.089358158407
12.5,0.7,0.5,118.994589856137
12.5,0.7,0.6,118.931611488952
12.5,0.7,0.7,118.901217087753
12.5,0.7,0.8,118.903965707665
12.5,0.7,0.9,118.940168190815
12.5,0.8,0.1,119.64645612964
12.5,0.8,0.2,119.476945120338
12.5,0.8,0.3,119.33230637279
12.5,0.8,0.4,119.214069186265
12.5,0.8,0.5,119.123608576444
12.5,0.8,0.6,119.062110541931
12.5,0.8,0.7,119.030541491387
12.5,0.8,0.8,119.02962358067
12.5,0.8,0.9,119.059817371208
12.5,0.9,0.1,119.799080380866
12.5,0.9,0.2,119.63398874904
12.5,0.9,0.3,119.491665327343
12.5,0.9,0.4,119.373747696978
12.5,0.9,0.5,119.281726047216
12.5,0.9,0.6,119.216906750629
12.5,0.9,0.7,119.180379322901
12.5,0.9,0.8,119.172988602144
12.5,0.9,0.9,119.19531375294
15,0.1,0.1,120.930279107852
15,0.1,0.2,120.378552046995
15,0.1,0.3,119.911431522892
15,0.1,0.4,119.526976529003
15,0.1,0.5,119.22366533387
15,0.1,0.6,119.000233036467
15,0.1,0.7,118.855546583449
15,0.1,0.8,118.788512837992
15,0.1,0.9,118.798014252441
15,0.2,0.1,120.575132516333
15,0.2,0.2,120.109068693438
15,0.2,0.3,119.713337284358
15,0.2,0.4,119.38752299467
15,0.2,0.5,119.131313816934
15,0.2,0.6,118.944405279252
15,0.2,0.7,118.826424780223
15,0.2,0.8,118.776876491813
15,0.2,0.9,118.795105561823
15,0.3,0.1,120.298788490033
15,0.3,0.2,119.903810475515
15,0.3,0.3,119.567670782746
15,0.3,0.4,119.29094708007
15,0.3,0.5,119.074149729553
15,0.3,0.6,118.917655466033
15,0.3,0.7,118.821653695496
15,0.3,0.8,118.786107760292
15,0.3,0.9,118.810731869042
15,0.4,0.1,120.097096654476
15,0.4,0.2,119.760269441183
15,0.4,0.3,119.472992733473
15,0.4,0.4,119.236494996011
15,0.4,0.5,119.051852128854
15,0.4,0.6,118.91993132718
15,0.4,0.7,118.841344386274
15,0.4,0.8,118.816413576016
15,0.4,0.9,118.84515183948
15,0.5,0.1,119.966889377171
15,0.5,0.2,119.676480211527
15,0.5,0.3,119.42814238953
15,0.5,0.4,119.223538631473
15,0.5,0.5,119.064141782339
15,0.5,0.6,118.951179641202
15,0.5,0.7,118.885587786139
15,0.5,0.8,118.867973926294
15,0.5,0.9,118.898596208772
